"Genome ID","Genome Name","Version","Species Identifier","No. Matched Families","No. Complete Alleles","Kernel Size (nts)","% Kernel Matched","Pathogenwatch Reference"
"59a95e831691f900014af6ce","10425_1_3_Nepnp74_2011","v1","90370",3283,3282,3283,100,"007898"
"59a95e841691f900014af6cf","10425_1_5_Nepnp45_2011","v1","90370",3272,3267,3275,99.6,"ERL041834"
"59a95e845f409b000112cfa6","10425_1_6_Nepnp80_2011","v1","90370",3283,3282,3283,100,"007898"
"59a95e851691f900014af6d0","10425_1_2_Nepnp69_2011","v1","90370",3283,3282,3283,100,"007898"
"59a95e865f409b000112cfa9","10425_1_9_Nepnp27_2011","v1","90370",3283,3282,3283,100,"007898"
"59a95e9ec153cc00018d8002","10426_1_6_Nepnp61_2011","v1","90370",3283,3282,3283,100,"007898"
"59a95ed15f409b000112cfe8","10492_1_38_NepMDUST237_2010","v1","90370",3271,3266,3271,99.6,"007898"
"59a95ee3c153cc00018d802d","10492_1_85_NepMDUST412_2011","v1","90370",3281,3278,3281,99.9,"007898"
"59a95eefc153cc00018d8033","10493_1_20_NepMDUST157_2012","v1","90370",3275,3271,3275,99.7,"007898"
"59a95f4cc153cc00018d8071","10541_2_28_NepMDUST294_2010","v1","90370",3263,3259,3263,99.4,"007898"
"59a95f5b1691f900014af773","10561_2_1_Nepnp4_2011","v1","90370",3283,3282,3283,100,"007898"
"59a95f5b5f409b000112d036","10561_2_2_Nepnp41_2011","v1","90370",3284,3288,3288,100,"ERL041834"
"59a95f5d1691f900014af776","10561_2_3_Nepnp94_2011","v1","90370",3283,3282,3283,100,"007898"
"59a95f5d5f409b000112d037","10561_2_8_Nepnp5_2011","v1","90370",3283,3282,3283,100,"007898"
"59a95f601691f900014af778","10561_2_9_Nepnp43_2011","v1","90370",3283,3282,3283,100,"007898"
"59a95f605f409b000112d039","10561_2_10_Nepnp95_2011","v1","90370",3276,3271,3276,99.8,"007898"
"59a95f611691f900014af779","10561_2_12_Nepnp8_2011","v1","90370",3278,3274,3278,99.8,"007898"
"59a95f625f409b000112d03a","10561_2_13_Nepnp44_2011","v1","90370",3277,3267,3277,99.8,"007898"
"59a95f625f409b000112d03b","10561_2_15_Nepnp97_2011","v1","90370",3271,3263,3271,99.6,"007898"
"59a95f635f409b000112d03c","10561_2_14_Nepnp75_2011","v1","90370",3277,3268,3277,99.8,"007898"
"59a95f645f409b000112d03e","10561_2_19_Nepnp11_2011","v1","90370",3275,3268,3275,99.7,"007898"
"59a95f655f409b000112d040","10561_2_20_Nepnp99_2011","v1","90370",3270,3264,3271,99.6,"ERL041834"
"59a95f675f409b000112d042","10561_2_26_Nepnp49_2011","v1","90370",3276,3271,3276,99.8,"007898"
"59a95f67c153cc00018d8078","10561_2_25_Nepnp12_2011","v1","90370",3277,3268,3277,99.8,"ERL041834"
"59a95f681691f900014af77d","10561_2_28_Nepnp101_2011","v1","90370",3278,3271,3278,99.8,"007898"
"59a95f681691f900014af77e","10561_2_27_Nepnp81_2011","v1","90370",3274,3269,3274,99.7,"007898"
"59a95f6a1691f900014af77f","10561_2_33_Nepnp83_2011","v1","90370",3275,3267,3275,99.7,"007898"
"59a95f6a5f409b000112d043","10561_2_31_Nepnp13_2011","v1","90370",3276,3267,3276,99.8,"007898"
"59a95f6ac153cc00018d807a","10561_2_32_Nepnp50_2011","v1","90370",3274,3272,3274,99.7,"CT18"
"59a95f6b5f409b000112d044","10561_2_34_Nepnp103_2011","v1","90370",3279,3275,3279,99.8,"UI4692"
"59a95f6ec153cc00018d807c","10561_2_37_Nepnp16_2011","v1","90370",3276,3268,3276,99.8,"ERL041834"
"59a95f6f1691f900014af781","10561_2_39_Nepnp87_2011","v1","90370",3276,3268,3276,99.8,"007898"
"59a95f6fc153cc00018d807d","10561_2_38_Nepnp51_2011","v1","90370",3277,3272,3277,99.8,"007898"
"59a95f72c153cc00018d807e","10561_2_46_Nepnp88_2011","v1","90370",3274,3268,3274,99.7,"007898"
"59a95f731691f900014af784","10561_2_44_Nepnp22_2011","v1","90370",3271,3259,3271,99.6,"007898"
"59a95f751691f900014af786","10561_2_50_Nepnp60_2011","v1","90370",3272,3266,3272,99.6,"007898"
"59a95f75c153cc00018d807f","10561_2_45_Nepnp57_2011","v1","90370",3278,3275,3278,99.8,"007898"
"59a95f771691f900014af788","10561_2_51_Nepnp89_2011","v1","90370",3267,3258,3267,99.5,"007898"
"59a95f785f409b000112d048","10561_2_54_Nepnp90_2011","v1","90370",3274,3269,3274,99.7,"007898"
"59a95f79c153cc00018d8080","10561_2_53_Nepnp31_2011","v1","90370",3277,3269,3277,99.8,"007898"
"59a95f7a1691f900014af789","10561_2_57_Nepnp39_2011","v1","90370",3275,3269,3275,99.7,"007898"
"59a95f7ac153cc00018d8081","10561_2_58_Nepnp65_2011","v1","90370",3276,3269,3276,99.8,"007898"
"59a95f7ac153cc00018d8082","10561_2_59_Nepnp92_2011","v1","90370",3274,3268,3274,99.7,"007898"
"59a95f7dc153cc00018d8083","10561_2_62_Nepnp40_2011","v1","90370",3274,3268,3274,99.7,"007898"
"59a95f7dc153cc00018d8084","10561_2_63_Nepnp67_2011","v1","90370",3273,3266,3273,99.7,"007898"
"59a95f7dc153cc00018d8086","10561_2_64_Nepnp93_2011","v1","90370",3272,3264,3272,99.6,"007898"
"59a95fd51691f900014af7c0","10592_2_62_NepE99-8635_1999","v1","90370",3279,3275,3279,99.8,"007898"
"59a96068c153cc00018d8105","ERL114000","v1","90370",3284,3289,3289,100,"UI4692"
"59a995d41691f900014af82b","STY6_AL513382","v1","90370",3281,3278,3281,99.9,"007898"
"59a995d5c153cc00018d8856","STY7_AL513382","v1","90370",3281,3274,3281,99.9,"007898"
"59a995d5c153cc00018d8857","13STY9_AL513382","v1","90370",3273,3265,3273,99.7,"007898"
